year,age,weight,father,name,bcs,ratio
2006,5.5,,,the game,223,
2006,8.5,,,mcstedman,177,
2007,5.5,213,,vince young,199,
2007,5.5,212,,junior jr,192,
2008,7.5,210,,the game,228,
2008,6.5,206,,junior jr,187,
2009,7.5,192,,junior jr,192,
2009,8.5,206,,the game,194,
2010,3.5,208,the game,true grit,155,
2010,3.5,164,the game,the duke,150,
2011,3.5,161,vince young,the prodigal son,151,
2011,4.5,202,the game,true grit,162,
2012,4.5,178,jr jr,high hopes,174,
2012,5.5,214,the game,the duke,176,
2013,5.5,186,jr jr,lays out,171,
2013,5.5,193,vince young,the prodigal son,189,
2014,6.5,,vince young,up out back,196,
2014,6.5,167,jr jr,high hopes,190,
2015,6.5,196,jr jr,cowboy,,
2015,6.5,197,jr jr,my dads a hoe,,
2016,5.5,203,,this works,204,
2016,5.5,164,,razor,207,
2017,4.5,195,high hopes,captain call,218,
2017,7.5,184,jr jr,baby crabman,204,
2018,6.5,200,,riptide,199,
2018,6.5,208,,just reboot it,196,
2019,6.5,193,,grade schooler,220,
2019,7.5,209,,riptide,205,
2020,7.5,195,,hillbilly jim,206,
2020,7.5,174,,grade schooler,237,
2021,4.5,167,razor,milkman,168,
2021,5.5,184,cowboy,headache,191,
